accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source
DQ080053,1-Jan-03,mosquito,Culex tarsalis,,Apache,Arizona,4001,West,Mountain,,,PMID6494762
DQ080052,1-Jan-03,mosquito,Culex tarsalis,,Maricopa,Arizona,4013,West,Mountain,,,PMID6494762
DQ080051,1-Jan-03,mosquito,Culex tarsalis,,Cochise,Arizona,4003,West,Mountain,,,PMID6494762
KF704147,1-Aug-10,mosquito,Culex quinquefasciatus,Glendale,Maricopa,Arizona,4013,West,Mountain,,,PMID24447818
KF704153,6-Aug-10,mosquito,Culex quinquefasciatus,Gilbert,Maricopa,Arizona,4013,West,Mountain,,,PMID24447818
KF704158,9-Aug-10,mosquito,Culex quinquefasciatus,Gilbert,Maricopa,Arizona,4013,West,Mountain,,,PMID24447818
MG004533,3-Jun-14,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.28877131,-111.83,journal.pone.0205801
MG004539,10-Jun-14,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.56043534,-111.92,journal.pone.0205801
MG004529,26-Jun-14,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.40726108,-112.25,journal.pone.0205801
MG004535,22-Jul-14,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.43627205,-111.89,journal.pone.0205801
MG004537,28-Aug-14,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.46893257,-112.3,journal.pone.0205801
MG004540,12-May-15,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.38735381,-111.79,journal.pone.0205801
MG004528,9-Jun-15,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.4302667,-112.25,journal.pone.0205801
MG004532,5-Aug-15,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.42717011,-111.83,journal.pone.0205801
MG004538,7-Oct-15,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.47467024,-111.97,journal.pone.0205801
MG004531,11-May-16,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.57274571,-112.14,journal.pone.0205801
MG004534,28-Jun-16,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.22495195,-111.61,journal.pone.0205801
MG004536,25-Aug-16,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.41665634,-111.83,journal.pone.0205801
MG004530,20-Oct-16,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.42305326,-112.32,journal.pone.0205801
MG004541,26-Apr-17,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.44403032,-111.71,journal.pone.0205801
W113,25-May-04,bird,Corvus brachyrhynchos,La Mirada,Los Angeles,California,6037,West,Pacific,33.913,-118.033,WN4K
W114,28-May-04,bird,Corvus brachyrhynchos,San_Bernardino,San Bernardino,California,6071,West,Pacific,34.111,-117.322,WN4K
W115,9-Jul-04,bird,Corvus brachyrhynchos,Van Nuys,Los Angeles,California,6037,West,Pacific,34.21,-118.506,WN4K
W251,20-Jul-04,bird,Corvus brachyrhynchos,Bakersfield,Kern,California,6029,West,Pacific,35.329,-119.078,WN4K
W116,23-Jul-04,bird,Pica nuttalli,Oroville,Butte,California,6007,West,Pacific,39.526,-121.569,WN4K
W628,23-Jul-04,mosquito,Culex tarsalis,Wilton,Sacramento,California,6067,West,Pacific,38.384,-121.261,WN4K
W629,23-Jul-04,mosquito,Culex pipiens,Valensin,Sacramento,California,6067,West,Pacific,38.341,-121.247,WN4K
W252,5-Aug-04,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.302,-119.053,WN4K
W344,5-Aug-04,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.149,WN4K
W345,5-Aug-04,mosquito,Culex quinquefasciatus,Arvin,Kern,California,6029,West,Pacific,35.198,-118.833,WN4K
W346,5-Aug-04,mosquito,Culex quinquefasciatus,Arvin,Kern,California,6029,West,Pacific,35.198,-118.833,WN4K
W630,6-Aug-04,mosquito,Culex tarsalis,Wilton,Sacramento,California,6067,West,Pacific,38.388,-121.247,WN4K
W347,10-Aug-04,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.276,-119.099,WN4K
W253,11-Aug-04,bird,Corvus brachyrhynchos,Bakersfield,Kern,California,6029,West,Pacific,35.385,-119.121,WN4K
W348,11-Aug-04,mosquito,Culex quinquefasciatus,Arvin,Kern,California,6029,West,Pacific,35.198,-118.833,WN4K
W349,11-Aug-04,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.283,-118.932,WN4K
W350,11-Aug-04,mosquito,Culex tarsalis,Arvin,Kern,California,6029,West,Pacific,35.166,-118.825,WN4K
